Berlin1		4.321.521		3.336.026		3.274.016		3.208.719		3.048.759		3.433.695		3.382.169		3.460.725		3.520.031		891,68		3.948		1,45		1747		Berlin Berlin
2		Hamburg1		1.698.388		1.605.606		1.836.958		1.793.640		1.645.095		1.652.363		1.715.392		1.786.448		1.787.408		755,30		2.366		1,40		1787		Hamburg Hamburg
3		München		815.212		831.937		1.101.384		1.311.978		1.298.941		1.229.026		1.210.223		1.353.186		1.450.381		310,70		4.668		1,45		1852		Bayern Bayern
4		Köln1		768.352		594.941		801.142		849.451		976.694		953.551		962.884		1.007.119		1.060.582		405,02		2.619		1,33		1852		Nordrhein-Westfalen Nordrhein-Westfalen
5		Frankfurt am Main		548.220		532.037		675.009		666.179		629.375		644.865		648.550		679.664		732.688		248,31		2.951		2,10		1875		Hessen Hessen
6		Stuttgart		454.346		497.677		637.366		634.202		580.648		579.988		583.874		606.588		623.738		207,35		3.008		1,84		1874		Baden-Württemberg Baden-Württemberg
7		Düsseldorf		535.753		500.516		697.891		660.963		590.479		575.794		569.364		588.735		612.178		217,41		2.816		1,27		1882		Nordrhein-Westfalen Nordrhein-Westfalen
8		Dortmund		537.865		507.349		640.802		640.642		608.297		599.055		588.994		580.444		586.181		280,71		2.088		0,98		1894		Nordrhein-Westfalen Nordrhein-Westfalen
9		Essen		664.523		605.411		729.462		696.419		647.643		626.973		595.243		574.635		582.624		210,34		2.770		1,54		1896		Nordrhein-Westfalen Nordrhein-Westfalen
10		Leipzig		702.155		617.574		589.632		583.885		562.480		511.079		493.208		522.883		560.472		297,39		1.885		2,94		1871		Sachsen Sachsen
11		Bremen		354.109		444.549		563.270		592.533		555.118		551.219		539.403		547.340		557.464		325,56		1.712		1,03		1875		Bremen Bremen
12		Dresden		629.713		494.187		493.603		502.432		516.225		490.571		477.807		523.058		543.825		328,31		1.656		1,40		1852		Sachsen Sachsen
13		Hannover		464.646		444.296		574.672		521.003		534.623		513.010		515.001		522.686		532.163		204,15		2.607		1,63		1875		Niedersachsen Niedersachsen
14		Nürnberg		420.349		362.459		458.401		478.181		484.405		493.692		488.400		505.664		509.975		186,38		2.736		1,78		1881		Bayern Bayern
15		Duisburg2		433.530		410.783		503.641		452.721		558.089		535.447		514.915		489.599		491.231		232,80		2.110		1,19		1903		Nordrhein-Westfalen Nordrhein-Westfalen
16		Bochum		305.469		289.804		362.490		343.809		400.757		396.486		391.147		374.737		364.742		145,66		2.504		0,79		1904		Nordrhein-Westfalen Nordrhein-Westfalen
17		Wuppertal3		399.718		363.224		421.378		417.694		393.381		383.660		366.434		349.721		350.046		168,39		2.079		1,34		1884		Nordrhein-Westfalen Nordrhein-Westfalen
18		Bielefeld1		126.711		153.613		174.527		168.609		312.708		319.037		321.758		323.270		333.090		258,82		1.287		1,00		1930		Nordrhein-Westfalen Nordrhein-Westfalen
19		Bonn1		98.702		115.394		146.889		275.722		288.148		292.234		302.247		324.899		318.809		141,06		2.260		1,55		1934		Nordrhein-Westfalen Nordrhein-Westfalen
20		Münster1		132.760		118.496		180.871		198.878		269.696		259.438		265.609		279.803		310.039		303,28		1.022		2,60		1915		Nordrhein-Westfalen Nordrhein-Westfalen
21		Karlsruhe		184.489		198.840		240.450		259.091		271.892		275.061		278.558		294.761		307.755		173,46		1.774		2,57		1901		Baden-Württemberg Baden-Württemberg
22		Mannheim		280.365		245.634		311.383		332.378		304.303		310.411		306.729		313.174		305.780		144,96		2.109		1,98		1897		Baden-Württemberg Baden-Württemberg
23		Augsburg		180.039		185.183		206.422		213.230		248.346		256.877		254.982		264.708		286.374		146,84		1.950		1,87		1909		Bayern Bayern
24		Wiesbaden1		165.646		220.741		257.293		250.715		274.464		260.301		270.109		275.976		276.218		203,92		1.355		0,40		1905		Hessen Hessen
25		Gelsenkirchen4		317.505		315.460		388.608		347.074		304.386		293.714		278.695		257.981		260.368		104,94		2.481		1,05		1903		Nordrhein-Westfalen Nordrhein-Westfalen
26		Mönchen­gladbach1, 5		128.418		124.879		152.414		151.085		128.329		259.436		263.014		257.993		259.996		170,47		1.525		1,22		1921		Nordrhein-Westfalen Nordrhein-Westfalen
